grade	number	Kanji	Strokes	Meaning	Onyomi	Kunyomi
4	526	挙	10	raise	kyo	a-geru
4	527	改	7	reformation	kai	arata-meru
4	528	救	11	salvation	kyū	suku-u
4	529	敗	11	break, failure	hai	yabu-reru
4	530	散	12	scatter	san	chi-ru
4	531	料	10	fee	ryō	
4	532	旗	14	flag	ki	hata
4	533	昨	9	yesterday	saku	
4	534	景	12	scenery	kei	
4	535	最	12	superlative	sai	mo, motto-mo
4	536	望	11	hope	bō	nozo-mu
4	537	未	5	un-	mi	ima-da
4	538	末	5	end	matsu	sue
4	539	札	5	bill, plate, tag	satsu	fuda
4	540	材	7	lumber, material	zai	
4	541	束	7	bundle	soku	taba, tsuka
4	542	松	8	pine	shō	matsu
4	543	果	8	accomplish, fruit	ka	ha-tasu
4	544	栄	9	prosperity	ei	saka-eru
4	545	案	10	plan	an	
4	546	梅	10	plum	bai	ume
4	547	械	11	contraption	kai	
4	548	極	12	poles	kyoku	kiwa-meru
4	549	標	15	signpost	hyō	
4	550	機	16	machine	ki	hata
4	551	欠	4	lack	ketsu	ka-keru
4	552	歴	14	curriculum	reki	
4	553	残	10	remainder, left	zan	noko-ru
4	554	殺	10	kill	satsu	koro-su
4	555	毒	8	poison	doku	
4	556	氏	4	surname, Mr.	shi	uji
4	557	民	5	people	min	tami
4	558	求	7	request	kyū	moto-mu
4	559	治	8	govern	chi, ji	osa-meru, nao-ru
4	560	法	8	method	hō	
4	561	泣	8	cry	kyū	na-ku
4	562	浅	9	shallow	sen	asa-i
4	563	浴	10	bathe; bask	yoku	a-biru
4	564	清	11	pure	sei, shō	kiyo-raka
4	565	満	12	full	man	mi-chiru
4	566	漁	14	fishing	ryō, gyo	asa-ru
4	567	灯	6	lamp	tō	hi
4	568	無	12	nothing	mu, bu	na-i
4	569	然	12	so, although	zen, nen	shika-shi
4	570	焼	12	bake	shō	ya-ku
4	571	照	13	illuminate	shō	te-rasu
4	572	熱	15	heat	netsu	atsu-i
4	573	牧	8	pasture; breed	boku	maki
4	574	特	10	special	toku	
4	575	産	11	give birth	san	u-mu
4	576	的	8	target	teki	mato
4	577	省	9	government ministry; omit; look back	shō, sei	habu-ku
4	578	祝	9	celebrate	shuku	iwa-u
