region	item	production_2017_Gg	imports_2017_Gg	exports_2017_Gg	feed_2017_Gg
Melanesia	Cephalopods	3.0	0.0	0.0	0.0
Jamaica	Pelagic Fish	0.0	25.0	0.0	1.0
Jamaica	Crustaceans	0.0	4.0	1.0	0.0
Jamaica	Freshwater Fish	2.0	2.0	0.0	0.0
Jamaica	Molluscs, Other	1.0	3.0	0.0	0.0
Jamaica	Marine Fish, Other	14.0	24.0	0.0	0.0
Jamaica	Fish, Seafood	17.0	60.0	2.0	1.0
Jamaica	Demersal Fish	0.0	1.0	0.0	0.0
Jamaica	Cephalopods	0.0	1.0	0.0	0.0
Albania	Pelagic Fish	0.0	12.0	8.0	0.0
Albania	Crustaceans	0.0	1.0	0.0	0.0
Albania	Freshwater Fish	2.0	0.0	0.0	0.0
Albania	Molluscs, Other	1.0	0.0	0.0	0.0
Albania	Marine Fish, Other	1.0	1.0	0.0	0.0
Albania	Fish, Seafood	7.0	17.0	9.0	0.0
Albania	Demersal Fish	2.0	1.0	0.0	0.0
Albania	Cephalopods	0.0	2.0	1.0	0.0
Samoa	Pelagic Fish	3.0	8.0	3.0	0.0
Samoa	Crustaceans	0.0	0.0	0.0	0.0
Samoa	Freshwater Fish	0.0	0.0	0.0	0.0
Samoa	Molluscs, Other	1.0	0.0	0.0	0.0
Samoa	Marine Fish, Other	5.0	0.0	4.0	0.0
Samoa	Fish, Seafood	10.0	8.0	8.0	0.0
Samoa	Demersal Fish	0.0	0.0	0.0	0.0
Samoa	Cephalopods	0.0	0.0	0.0	0.0
United Arab Emirates	Pelagic Fish	21.0	62.0	24.0	2.0
United Arab Emirates	Crustaceans	1.0	55.0	16.0	0.0
United Arab Emirates	Freshwater Fish	0.0	66.0	5.0	0.0
United Arab Emirates	Molluscs, Other	0.0	7.0	0.0	0.0
United Arab Emirates	Marine Fish, Other	4.0	51.0	4.0	0.0
United Arab Emirates	Fish, Seafood	73.0	304.0	87.0	2.0
United Arab Emirates	Demersal Fish	46.0	55.0	22.0	0.0
United Arab Emirates	Cephalopods	0.0	8.0	16.0	0.0
India	Pelagic Fish	1621.0	39.0	563.0	383.0
India	Crustaceans	1192.0	3.0	624.0	0.0
India	Freshwater Fish	7005.0	31.0	26.0	0.0
India	Molluscs, Other	88.0	0.0	12.0	0.0
India	Marine Fish, Other	94.0	3.0	9.0	0.0
India	Fish, Seafood	11606.0	78.0	1747.0	383.0
India	Demersal Fish	1354.0	1.0	327.0	0.0
India	Cephalopods	252.0	1.0	186.0	0.0
Azerbaijan	Pelagic Fish	0.0	18.0	0.0	0.0
Azerbaijan	Crustaceans	0.0	2.0	0.0	0.0
Azerbaijan	Freshwater Fish	2.0	5.0	0.0	0.0
Azerbaijan	Molluscs, Other	0.0	0.0	0.0	0.0
Azerbaijan	Marine Fish, Other	0.0	1.0	0.0	0.0
Azerbaijan	Fish, Seafood	2.0	30.0	0.0	0.0
Azerbaijan	Demersal Fish	0.0	4.0	0.0	0.0
Azerbaijan	Cephalopods	0.0	0.0	0.0	0.0
Lesotho	Pelagic Fish	0.0	2.0	0.0	0.0
Lesotho	Crustaceans	0.0	0.0	0.0	0.0
Lesotho	Freshwater Fish	1.0	1.0	1.0	0.0
Lesotho	Molluscs, Other	0.0	0.0	0.0	0.0
Lesotho	Marine Fish, Other	0.0	1.0	0.0	0.0
Lesotho	Fish, Seafood	1.0	4.0	1.0	0.0
Lesotho	Demersal Fish	0.0	0.0	0.0	0.0
Lesotho	Cephalopods	0.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Pelagic Fish	38.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Crustaceans	0.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Freshwater Fish	0.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Molluscs, Other	0.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Marine Fish, Other	1.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Fish, Seafood	39.0	1.0	0.0	0.0
Saint Vincent and the Grenadines	Demersal Fish	0.0	0.0	0.0	0.0
Saint Vincent and the Grenadines	Cephalopods	0.0	0.0	0.0	0.0
Kenya	Pelagic Fish	5.0	17.0	4.0	3.0
Kenya	Crustaceans	1.0	0.0	0.0	0.0
Kenya	Freshwater Fish	170.0	2.0	6.0	0.0
Kenya	Molluscs, Other	0.0	0.0	0.0	0.0
Kenya	Marine Fish, Other	0.0	10.0	1.0	0.0
Kenya	Fish, Seafood	186.0	29.0	12.0	3.0
Kenya	Demersal Fish	8.0	0.0	0.0	0.0
Kenya	Cephalopods	2.0	0.0	1.0	0.0
South Korea	Pelagic Fish	806.0	564.0	370.0	288.0
South Korea	Crustaceans	117.0	164.0	95.0	6.0
South Korea	Freshwater Fish	36.0	47.0	3.0	0.0
South Korea	Molluscs, Other	421.0	229.0	112.0	0.0
South Korea	Marine Fish, Other	11.0	24.0	6.0	18.0
South Korea	Fish, Seafood	1848.0	2018.0	718.0	334.0
South Korea	Demersal Fish	289.0	781.0	77.0	0.0
South Korea	Cephalopods	168.0	209.0	55.0	22.0
Macao	Pelagic Fish	0.0	0.0	0.0	0.0
Macao	Crustaceans	0.0	7.0	0.0	0.0
Macao	Freshwater Fish	0.0	9.0	0.0	0.0
Macao	Molluscs, Other	0.0	7.0	0.0	0.0
Macao	Marine Fish, Other	1.0	8.0	0.0	0.0
Macao	Fish, Seafood	2.0	34.0	0.0	0.0
Macao	Demersal Fish	0.0	0.0	0.0	0.0
Macao	Cephalopods	0.0	2.0	0.0	0.0
Turkey	Pelagic Fish	241.0	661.0	20.0	678.0
Turkey	Crustaceans	5.0	1.0	3.0	0.0
Turkey	Freshwater Fish	135.0	12.0	50.0	0.0
Turkey	Molluscs, Other	32.0	2.0	13.0	0.0
Turkey	Demersal Fish	169.0	10.0	120.0	0.0
Turkey	Fish, Seafood	584.0	689.0	209.0	678.0
Turkey	Cephalopods	2.0	4.0	1.0	0.0
Afghanistan	Freshwater Fish	9.0	0.0	0.0	0.0
Afghanistan	Fish, Seafood	9.0	0.0	0.0	0.0
Oceania	Pelagic Fish	434.0	359.0	319.0	207.0
Oceania	Crustaceans	57.0	100.0	23.0	0.0
Oceania	Freshwater Fish	77.0	66.0	21.0	0.0
Oceania	Molluscs, Other	137.0	61.0	117.0	0.0
Oceania	Marine Fish, Other	59.0	42.0	24.0	0.0
Oceania	Fish, Seafood	1163.0	781.0	767.0	252.0
Oceania	Demersal Fish	374.0	124.0	245.0	45.0
Oceania	Cephalopods	25.0	29.0	18.0	0.0
Caribbean	Pelagic Fish	70.0	122.0	6.0	4.0
Caribbean	Crustaceans	21.0	13.0	15.0	0.0
Caribbean	Freshwater Fish	33.0	26.0	1.0	0.0
Caribbean	Molluscs, Other	16.0	8.0	2.0	0.0
Caribbean	Marine Fish, Other	46.0	50.0	3.0	9.0
Caribbean	Fish, Seafood	201.0	267.0	29.0	13.0
Caribbean	Demersal Fish	15.0	45.0	2.0	0.0
Caribbean	Cephalopods	0.0	3.0	0.0	0.0
Bangladesh	Pelagic Fish	114.0	33.0	0.0	69.0
Bangladesh	Crustaceans	247.0	0.0	54.0	0.0
Bangladesh	Freshwater Fish	3193.0	33.0	5.0	0.0
Bangladesh	Molluscs, Other	0.0	0.0	0.0	0.0
Bangladesh	Marine Fish, Other	242.0	83.0	16.0	0.0
Bangladesh	Fish, Seafood	3878.0	150.0	78.0	69.0
Bangladesh	Demersal Fish	80.0	1.0	2.0	0.0
Bangladesh	Cephalopods	1.0	0.0	1.0	0.0
Solomon Islands	Pelagic Fish	46.0	0.0	34.0	0.0
Solomon Islands	Crustaceans	0.0	0.0	0.0	0.0
Solomon Islands	Freshwater Fish	0.0	0.0	0.0	0.0
Solomon Islands	Molluscs, Other	0.0	0.0	0.0	0.0
Solomon Islands	Marine Fish, Other	10.0	1.0	4.0	0.0
Solomon Islands	Fish, Seafood	56.0	1.0	38.0	0.0
Solomon Islands	Demersal Fish	0.0	0.0	0.0	0.0
Solomon Islands	Cephalopods	0.0	0.0	0.0	0.0
Africa	Pelagic Fish	4117.0	2701.0	2459.0	317.0
Africa	Crustaceans	209.0	74.0	78.0	0.0
Africa	Freshwater Fish	4331.0	242.0	117.0	6.0
Africa	Molluscs, Other	43.0	15.0	17.0	0.0
Africa	Marine Fish, Other	566.0	404.0	125.0	3.0
Africa	Fish, Seafood	11131.0	4037.0	3385.0	328.0
Africa	Demersal Fish	1677.0	563.0	410.0	2.0
Africa	Cephalopods	188.0	38.0	179.0	0.0
Saint Lucia	Pelagic Fish	1.0	2.0	0.0	0.0
Saint Lucia	Crustaceans	0.0	0.0	0.0	0.0
Saint Lucia	Freshwater Fish	0.0	0.0	0.0	0.0
Saint Lucia	Molluscs, Other	1.0	0.0	0.0	0.0
Saint Lucia	Marine Fish, Other	0.0	2.0	0.0	0.0
Saint Lucia	Fish, Seafood	2.0	4.0	0.0	0.0
Saint Lucia	Demersal Fish	0.0	0.0	0.0	0.0
Saint Lucia	Cephalopods	0.0	0.0	0.0	0.0
Kyrgyzstan	Pelagic Fish	0.0	4.0	2.0	0.0
Kyrgyzstan	Crustaceans	0.0	0.0	0.0	0.0
Kyrgyzstan	Freshwater Fish	2.0	1.0	0.0	0.0
Kyrgyzstan	Molluscs, Other	0.0	0.0	0.0	0.0
