Country name	country_short	country_code	area	Ladder score	Standard error of ladder score	upperwhisker	lowerwhisker	high_low_rank	high_low_year	high_low_var	Logged GDP per capita	Social support	Healthy life expectancy	Freedom to make life choices	Generosity	Perceptions of corruption	Ladder score in Dystopia	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
Tunisia	Tunisia	TUN	Middle East and North Africa	4.497	0.053	4.601	4.393	60	2022	3.464	9.244	0.73	67	0.576	-0.213	0.907	1.778	1.333	0.981	0.422	0.259	0.022	0.016	1.463
Kenya	Kenya	KEN	Sub-Saharan Africa	4.487	0.066	4.616	4.357	118	2022	4.44	8.458	0.69	58.499	0.696	0.288	0.852	1.778	1.051	0.881	0.19	0.418	0.291	0.055	1.601
Sri Lanka	Sri Lanka	LKA	Asia-Pacific	4.442	0.083	4.603	4.28	63	2021	3.553	9.491	0.826	67.15	0.787	-0.03	0.808	1.778	1.422	1.224	0.426	0.539	0.12	0.086	0.625
Uganda	Uganda	UGA	Sub-Saharan Africa	4.432	0.089	4.607	4.258	121	2022	4.495	7.716	0.794	58.913	0.701	0.114	0.857	1.778	0.785	1.144	0.201	0.425	0.197	0.051	1.628
Chad	Chad	TCD	Sub-Saharan Africa	4.397	0.121	4.633	4.16	123	2022	4.579	7.261	0.722	53.125	0.677	0.221	0.807	1.778	0.622	0.962	0.043	0.393	0.255	0.088	2.034
Cambodia	Cambodia	KHM	Asia-Pacific	4.393	0.059	4.508	4.279	48	2022	3.303	8.385	0.747	61.9	0.958	0.073	0.857	1.778	1.025	1.024	0.283	0.768	0.176	0.051	1.068
Benin	Benin	BEN	Sub-Saharan Africa	4.374	0.066	4.504	4.244	97	2022	4.073	8.103	0.437	56.095	0.743	-0.043	0.576	1.778	0.924	0.242	0.124	0.481	0.114	0.253	2.235
Myanmar	Myanmar	MMR	Asia-Pacific	4.372	0.082	4.533	4.212	72	2021	3.679	8.404	0.787	61.388	0.727	0.491	0.658	1.778	1.032	1.125	0.269	0.46	0.4	0.194	0.893
Bangladesh	Bangladesh	BGD	Asia-Pacific	4.282	0.068	4.416	4.148	102	2022	4.22	8.685	0.544	64.548	0.845	0.005	0.698	1.778	1.133	0.513	0.355	0.617	0.139	0.165	1.361
Gambia	Gambia	GMB	Sub-Saharan Africa	4.279	0.105	4.484	4.075	104	2022	4.229	7.648	0.584	57.9	0.596	0.364	0.883	1.778	0.761	0.614	0.174	0.286	0.332	0.033	2.081
Mali	Mali	MLI	Sub-Saharan Africa	4.198	0.062	4.319	4.076	120	2022	4.487	7.655	0.593	55.403	0.713	-0.028	0.846	1.778	0.763	0.637	0.106	0.441	0.121	0.059	2.07
Egypt	Egypt	EGY	Middle East and North Africa	4.17	0.059	4.287	4.054	68	2022	3.64	9.367	0.726	63.503	0.732	-0.183	0.58	1.778	1.377	0.972	0.326	0.467	0.038	0.25	0.74
Togo	Togo	TGO	Sub-Saharan Africa	4.137	0.077	4.289	3.986	79	2022	3.787	7.673	0.595	57.449	0.657	0.024	0.74	1.778	0.77	0.642	0.161	0.367	0.149	0.136	1.913
Jordan	Jordan	JOR	Middle East and North Africa	4.12	0.062	4.242	3.997	122	2022	4.567	9.13	0.729	67.6	0.77	-0.15	0.687	1.778	1.292	0.98	0.438	0.517	0.056	0.173	0.663
Ethiopia	Ethiopia	ETH	Sub-Saharan Africa	4.091	0.093	4.273	3.908	92	2022	3.945	7.739	0.782	60.698	0.72	0.273	0.789	1.778	0.793	1.114	0.25	0.451	0.283	0.101	1.099
